task,model,metric,paper,reproduced,abs_diff
multiclass,LGBM,accuracy,0.96,0.9253333333333333,0.03466666666666662
multiclass,LGBM,precision,0.95,0.9251456467950093,0.02485435320499063
multiclass,LGBM,recall,0.93,0.9253333333333333,0.004666666666666708
multiclass,LGBM,f1_weighted,0.94,0.9237494192748863,0.01625058072511365
multiclass,XGB,accuracy,0.96,0.928,0.03199999999999992
multiclass,XGB,precision,0.96,0.927758129072435,0.03224187092756492
multiclass,XGB,recall,0.94,0.928,0.0119999999999999
multiclass,XGB,f1_weighted,0.94,0.9261786622095672,0.013821337790432708
multiclass,RF,accuracy,0.97,0.9366666666666666,0.033333333333333326
multiclass,RF,precision,0.96,0.9364326789453911,0.023567321054608903
multiclass,RF,recall,0.95,0.9366666666666666,0.013333333333333308
multiclass,RF,f1_weighted,0.95,0.9342744610920064,0.015725538907993553
multiclass,ELECTRA,accuracy,0.99,0.988,0.0020000000000000018
multiclass,ELECTRA,precision,0.99,0.9879846852693056,0.002015314730694384
multiclass,ELECTRA,recall,0.99,0.988,0.0020000000000000018
multiclass,ELECTRA,f1_weighted,0.99,0.9879161057768987,0.0020838942231012902
binary,LGBM,accuracy,0.93,0.9566666666666667,0.026666666666666616
binary,LGBM,precision,0.94,0.9565510670962966,0.016551067096296612
binary,LGBM,recall,0.92,0.9566666666666667,0.036666666666666625
binary,LGBM,f1_weighted,0.93,0.9565013088630879,0.02650130886308788
binary,XGB,accuracy,0.94,0.96,0.020000000000000018
binary,XGB,precision,0.95,0.9601128315142187,0.010112831514218712
binary,XGB,recall,0.92,0.96,0.039999999999999925
binary,XGB,f1_weighted,0.94,0.9597281493039227,0.01972814930392275
binary,RF,accuracy,0.95,0.9606666666666667,0.010666666666666713
binary,RF,precision,0.96,0.9608860590500641,0.0008860590500641141
binary,RF,recall,0.95,0.9606666666666667,0.010666666666666713
binary,RF,f1_weighted,0.95,0.9603663029507838,0.01036630295078389
binary,ELECTRA,accuracy,0.99,0.99,0.0
binary,ELECTRA,precision,0.99,0.9900352781546811,3.5278154681073204e-05
binary,ELECTRA,recall,0.99,0.99,0.0
binary,ELECTRA,f1_weighted,0.99,0.989977443710577,2.255628942293697e-05
